CustomerID,Gender,Age,Country,TenureMonths,ContractType,PaymentMethod,InternetService,HasPhoneService,AddonStreaming,MonthlyCharges,TotalCharges,SupportTicketsLast6M,IsActiveAppUser,SatisfactionScore,Churn,ChurnReason
C0019,Male,62,Norway,11,Month-to-month,Bank transfer,Fiber,Yes,No,92.14,1015.98,3,No,4,0,
C0020,Male,53,Germany,37,Month-to-month,Credit card,Fiber,Yes,No,76.39,2843.25,2,Yes,4,0,
C0021,Female,73,Finland,107,Two year,Direct debit,Fiber,Yes,Yes,91.38,9743.73,0,Yes,5,0,
C0022,Male,60,Germany,118,Two year,Credit card,None,Yes,Yes,40.7,4824.07,1,Yes,5,0,
C0023,Male,37,Germany,109,Two year,Bank transfer,None,No,No,48.07,5268.95,1,Yes,5,0,
C0024,Male,35,Finland,33,One year,Electronic invoice,Fiber,Yes,No,60.58,1978.83,4,No,4,1,Other
C0025,Male,75,Sweden,40,One year,Bank transfer,DSL,Yes,No,31.51,1272.73,0,Yes,5,0,
C0026,Female,60,Germany,9,Two year,Direct debit,Fiber,No,No,45.19,369.24,2,Yes,4,0,
C0027,Male,74,Finland,16,One year,Credit card,DSL,Yes,No,41.11,642.02,4,No,4,1,Other
C0028,Female,38,Sweden,16,Month-to-month,Credit card,Fiber,Yes,No,68.54,1086.23,4,Yes,4,0,
C0029,Female,21,Germany,66,Two year,Electronic invoice,Fiber,Yes,Yes,69.35,4547.6,2,Yes,4,0,
C0030,Male,67,Norway,61,One year,Direct debit,Fiber,Yes,No,56.0,3411.24,1,No,5,1,Moving
C0031,Female,50,Finland,94,Month-to-month,Bank transfer,Fiber,Yes,Yes,78.49,7371.98,2,Yes,4,1,Moving
C0032,Male,44,Norway,114,Month-to-month,Electronic invoice,DSL,Yes,Yes,33.28,3806.26,0,Yes,5,0,
C0033,Male,24,Finland,0,Month-to-month,Electronic invoice,Fiber,Yes,No,80.87,0.0,1,Yes,4,1,Competitor
C0034,Female,23,Sweden,11,One year,Electronic invoice,Fiber,Yes,Yes,70.43,787.2,2,Yes,4,0,
C0035,Other,80,Finland,102,Month-to-month,Bank transfer,Fiber,No,Yes,93.1,9480.42,1,Yes,4,0,
C0036,Female,32,Norway,3,Month-to-month,Credit card,Fiber,Yes,No,83.65,225.38,1,Yes,4,0,
C0037,Male,35,Sweden,41,Month-to-month,Direct debit,Fiber,No,Yes,74.75,3060.82,0,Yes,4,1,Competitor
C0038,Male,49,Denmark,12,One year,Direct debit,Fiber,No,Yes,71.11,868.37,0,Yes,4,0,
C0039,Female,73,Norway,97,Two year,Credit card,Fiber,Yes,No,77.99,7555.35,3,Yes,4,0,
C0040,Male,28,Sweden,105,One year,Direct debit,DSL,No,No,22.44,2366.48,2,No,5,1,Moving
C0041,Male,37,Norway,84,Month-to-month,Credit card,DSL,Yes,Yes,53.12,4467.66,2,No,4,1,Other
C0042,Female,41,Finland,85,Month-to-month,Bank transfer,Fiber,No,No,76.09,6530.34,1,No,4,0,
C0043,Male,32,Norway,120,Two year,Bank transfer,DSL,Yes,Yes,52.96,6348.95,2,Yes,5,0,
C0044,Female,65,Finland,3,Month-to-month,Direct debit,Fiber,Yes,No,69.36,204.75,4,Yes,4,1,Other
C0045,Male,24,Germany,81,One year,Bank transfer,Mobile,Yes,Yes,66.49,5407.85,0,No,5,1,Other
C0046,Female,38,Finland,68,Month-to-month,Electronic invoice,Mobile,Yes,No,22.21,1509.25,4,No,4,1,Competitor
C0047,Male,59,Sweden,18,One year,Direct debit,None,No,Yes,45.81,829.6,1,No,4,0,
C0048,Female,43,Norway,1,Month-to-month,Direct debit,DSL,No,Yes,69.37,34.24,1,Yes,4,0,
C0049,Female,61,Sweden,11,Month-to-month,Electronic invoice,None,Yes,Yes,65.14,714.1,1,Yes,4,0,
C0050,Male,73,Finland,80,Month-to-month,Direct debit,Fiber,No,No,49.76,3966.7,0,No,5,0,
C0051,Other,31,Norway,73,One year,Electronic invoice,Fiber,Yes,No,66.27,4828.12,3,No,4,0,
C0052,Female,74,Norway,97,Two year,Credit card,DSL,Yes,Yes,34.31,3333.2,0,No,5,0,
C0053,Female,54,Denmark,5,One year,Bank transfer,Mobile,Yes,No,44.32,220.5,3,No,4,0,
C0054,Female,75,Sweden,7,One year,Credit card,DSL,Yes,Yes,48.73,356.55,1,No,4,0,
C0055,Female,38,Norway,50,Two year,Credit card,Mobile,Yes,No,36.19,1828.58,2,No,4,1,Moving
C0056,Female,35,Sweden,10,Month-to-month,Electronic invoice,DSL,Yes,Yes,58.08,577.26,2,Yes,4,0,
C0057,Male,22,Norway,62,One year,Credit card,Fiber,Yes,No,62.61,3887.81,0,No,5,0,
C0058,Male,20,Norway,56,Two year,Bank transfer,Fiber,Yes,No,53.94,2979.97,1,Yes,5,0,
C0059,Male,40,Sweden,11,Month-to-month,Direct debit,DSL,Yes,No,46.08,513.17,1,Yes,4,1,Moving
C0060,Male,43,Finland,72,Two year,Direct debit,DSL,Yes,Yes,46.07,3338.1,1,No,5,0,
C0061,Male,54,Finland,1,Month-to-month,Bank transfer,Fiber,Yes,Yes,82.4,64.2,2,No,4,0,
C0062,Male,41,Finland,7,Month-to-month,Direct debit,DSL,No,No,38.06,281.53,1,No,4,0,
C0063,Female,66,Finland,10,One year,Credit card,Fiber,No,Yes,46.97,460.66,0,Yes,5,0,
C0064,Male,36,Sweden,52,Two year,Bank transfer,Fiber,Yes,Yes,72.35,3750.67,3,Yes,4,0,
C0065,Male,68,Norway,99,Two year,Direct debit,Mobile,Yes,Yes,31.57,3153.91,1,No,5,1,Moving
C0066,Female,42,Finland,9,Month-to-month,Direct debit,Fiber,No,Yes,70.46,633.48,2,No,4,1,Other
C0067,Male,38,Germany,84,Two year,Bank transfer,DSL,Yes,Yes,42.02,3547.02,3,Yes,4,0,
C0068,Female,29,Finland,83,One year,Electronic invoice,Fiber,Yes,No,71.42,5888.81,0,Yes,5,1,Moving
C0069,Male,74,Denmark,111,One year,Bank transfer,DSL,Yes,No,36.46,4034.86,1,No,5,0,
C0070,Other,78,Norway,7,Two year,Bank transfer,Mobile,Yes,No,25.4,192.03,3,Yes,4,0,
C0071,Female,58,Sweden,35,Two year,Credit card,Mobile,Yes,Yes,37.47,1313.94,2,Yes,4,0,
C0072,Male,50,Finland,92,Month-to-month,Direct debit,Fiber,Yes,No,45.37,4170.36,1,Yes,5,0,
C0073,Male,67,Norway,105,Two year,Direct debit,DSL,Yes,No,25.32,2670.68,1,Yes,5,0,
C0074,Female,70,Sweden,75,Month-to-month,Credit card,Mobile,Yes,No,47.64,3556.37,2,Yes,4,1,Moving
C0075,Female,21,Germany,13,Month-to-month,Bank transfer,Mobile,No,Yes,62.74,839.96,2,Yes,4,0,
C0076,Female,80,Sweden,111,One year,Direct debit,Mobile,Yes,No,25.16,2788.51,5,Yes,4,0,
C0077,Female,59,Germany,53,Two year,Bank transfer,Mobile,Yes,No,32.49,1705.66,2,Yes,5,0,
C0078,Male,74,Finland,113,Month-to-month,Credit card,Fiber,Yes,No,69.18,7802.34,6,Yes,4,0,
C0079,Male,24,Denmark,84,Two year,Direct debit,DSL,Yes,Yes,37.74,3168.53,0,No,5,0,
C0080,Male,39,Norway,85,Month-to-month,Credit card,Fiber,No,Yes,78.79,6688.62,0,No,5,0,
C0081,Female,72,Denmark,20,One year,Electronic invoice,Fiber,Yes,Yes,85.33,1717.12,0,Yes,4,1,Other
C0082,Female,50,Finland,107,One year,Credit card,Fiber,No,No,64.11,6858.84,2,Yes,4,0,
C0083,Male,34,Norway,49,Two year,Direct debit,Fiber,Yes,Yes,71.54,3498.34,3,Yes,4,0,
C0084,Male,41,Sweden,93,Month-to-month,Bank transfer,DSL,Yes,No,35.74,3330.89,1,No,5,1,Competitor
C0085,Male,78,Denmark,38,Two year,Electronic invoice,Fiber,Yes,No,33.8,1273.81,2,Yes,4,0,
C0086,Male,78,Finland,19,Two year,Credit card,Fiber,Yes,No,73.69,1409.94,2,No,4,0,
C0087,Female,51,Germany,87,Two year,Direct debit,DSL,No,No,51.12,4453.97,1,No,5,1,Competitor
C0088,Female,45,Finland,86,One year,Direct debit,Fiber,Yes,No,64.82,5580.22,2,No,4,0,
C0089,Female,75,Denmark,6,Two year,Bank transfer,Mobile,Yes,No,37.05,215.14,3,Yes,4,0,
C0090,Male,60,Germany,8,Month-to-month,Bank transfer,Mobile,No,Yes,36.99,283.33,1,No,4,0,
C0091,Male,58,Denmark,0,Month-to-month,Direct debit,Fiber,Yes,No,37.66,16.17,2,No,4,1,Other
C0092,Female,56,Sweden,25,Two year,Electronic invoice,Fiber,No,No,50.81,1282.53,1,Yes,4,0,
C0093,Female,39,Sweden,37,Month-to-month,Credit card,DSL,Yes,Yes,60.93,2234.25,1,Yes,4,1,Moving
C0094,Female,66,Germany,37,One year,Credit card,Fiber,Yes,No,84.38,3113.4,1,Yes,4,1,Competitor
C0095,Female,34,Finland,117,Month-to-month,Electronic invoice,Fiber,Yes,Yes,77.85,9135.24,3,Yes,4,0,
C0096,Female,51,Sweden,60,One year,Credit card,Fiber,Yes,Yes,72.2,4351.68,2,No,4,0,
C0097,Female,23,Norway,43,Two year,Electronic invoice,Mobile,Yes,Yes,60.65,2584.55,3,No,4,0,
C0098,Male,63,Denmark,85,One year,Direct debit,Fiber,Yes,Yes,66.0,5610.24,1,Yes,5,0,
C0099,Male,23,Finland,43,One year,Direct debit,DSL,Yes,No,32.01,1384.81,3,Yes,4,0,
C0100,Male,51,Norway,73,Month-to-month,Credit card,DSL,Yes,No,30.69,2260.24,1,No,5,1,Competitor
C0101,Male,18,Denmark,118,One year,Credit card,Fiber,Yes,No,59.4,7011.74,2,Yes,5,0,
C0102,Female,27,Finland,61,Month-to-month,Direct debit,Fiber,No,No,79.98,4888.46,1,Yes,4,0,
C0103,Male,38,Germany,5,One year,Electronic invoice,Mobile,Yes,Yes,49.44,265.83,0,Yes,5,1,Competitor
C0104,Female,22,Finland,16,Month-to-month,Electronic invoice,Fiber,Yes,Yes,92.76,1505.47,3,No,4,1,Other
C0105,Female,19,Sweden,50,Two year,Credit card,Fiber,Yes,No,88.24,4408.38,2,No,4,0,
C0106,Male,39,Finland,113,One year,Credit card,Fiber,Yes,No,91.43,10332.5,2,Yes,4,0,
C0107,Male,65,Finland,37,One year,Credit card,Fiber,No,Yes,50.58,1856.3,0,Yes,5,0,
C0108,Female,74,Germany,23,One year,Electronic invoice,Fiber,Yes,No,61.13,1400.53,3,Yes,4,0,
C0109,Male,19,Sweden,50,One year,Credit card,Fiber,No,No,76.06,3794.85,0,Yes,4,0,
C0110,Male,27,Sweden,9,Month-to-month,Credit card,Fiber,Yes,No,33.19,294.94,1,No,5,0,
C0111,Male,51,Finland,119,Month-to-month,Credit card,DSL,Yes,Yes,65.12,7747.4,2,Yes,4,0,
C0112,Male,33,Norway,71,One year,Bank transfer,Mobile,Yes,No,51.68,3685.55,2,Yes,4,0,
C0113,Female,65,Norway,20,Month-to-month,Electronic invoice,Fiber,No,No,75.42,1515.39,1,Yes,4,0,
C0114,Female,68,Sweden,119,Month-to-month,Bank transfer,DSL,No,No,30.72,3630.08,2,Yes,5,0,
C0115,Female,78,Finland,69,One year,Credit card,DSL,Yes,Yes,39.24,2718.57,3,No,4,0,
C0116,Female,56,Germany,84,Month-to-month,Bank transfer,DSL,No,No,35.29,2953.38,0,Yes,5,0,
C0117,Female,39,Sweden,56,Month-to-month,Bank transfer,Fiber,Yes,No,76.5,4262.21,3,Yes,4,1,Competitor
C0118,Male,29,Sweden,38,Month-to-month,Credit card,DSL,No,Yes,43.27,1621.41,0,No,5,1,Moving
C0119,Female,41,Finland,87,Month-to-month,Credit card,DSL,Yes,Yes,28.15,2452.45,3,Yes,5,0,
C0120,Female,64,Denmark,32,Month-to-month,Direct debit,Fiber,Yes,No,45.9,1490.02,1,Yes,5,1,Other
C0121,Female,57,Sweden,58,Two year,Credit card,Fiber,Yes,No,91.52,5303.94,2,Yes,4,0,
C0122,Female,55,Sweden,17,Month-to-month,Credit card,DSL,No,No,47.07,818.94,0,Yes,5,0,
C0123,Male,77,Finland,55,Two year,Bank transfer,Fiber,No,Yes,87.42,4809.81,1,No,4,0,
C0124,Male,76,Germany,91,Month-to-month,Direct debit,Mobile,No,No,42.43,3818.02,3,Yes,4,0,
C0125,Male,27,Finland,56,Two year,Direct debit,None,No,No,41.59,2341.28,2,Yes,4,0,
C0126,Male,52,Denmark,115,Month-to-month,Direct debit,Fiber,Yes,Yes,49.2,5647.16,3,No,4,1,Other
C0127,Female,68,Sweden,95,Two year,Direct debit,DSL,No,No,33.95,3209.04,4,Yes,4,1,Competitor
C0128,Female,80,Finland,75,Two year,Direct debit,Mobile,No,Yes,48.01,3613.11,2,No,4,0,
C0129,Male,66,Denmark,47,Month-to-month,Credit card,Fiber,Yes,Yes,79.29,3729.31,2,Yes,4,1,Moving
C0130,Female,49,Finland,41,Two year,Electronic invoice,DSL,Yes,No,30.75,1259.4,4,Yes,4,1,Other
C0131,Male,24,Germany,26,One year,Credit card,Mobile,Yes,No,15.84,413.78,0,Yes,5,0,
C0132,Male,38,Germany,73,Month-to-month,Bank transfer,Fiber,No,Yes,75.63,5504.05,0,Yes,5,1,Competitor
C0133,Male,37,Germany,109,Two year,Direct debit,None,No,Yes,32.62,3590.98,3,Yes,5,1,Moving
C0134,Male,43,Finland,120,Two year,Bank transfer,Mobile,No,Yes,46.15,5541.45,1,Yes,5,0,
C0135,Female,80,Denmark,51,One year,Electronic invoice,Fiber,No,Yes,60.95,3111.62,3,Yes,4,1,Moving
C0136,Male,21,Sweden,41,One year,Bank transfer,Mobile,No,No,20.45,836.71,2,Yes,5,1,Other
C0137,Female,63,Germany,31,Two year,Electronic invoice,Fiber,Yes,No,56.92,1732.19,1,Yes,4,0,
C0138,Female,69,Norway,105,Two year,Electronic invoice,Fiber,Yes,Yes,72.66,7615.81,1,Yes,5,0,
C0139,Male,39,Denmark,25,Two year,Electronic invoice,Mobile,Yes,No,40.91,998.27,1,Yes,5,0,
C0140,Other,32,Sweden,24,Two year,Electronic invoice,Fiber,Yes,Yes,72.63,1716.73,1,Yes,4,0,
C0141,Other,73,Sweden,74,Month-to-month,Electronic invoice,Mobile,Yes,No,51.38,3771.29,4,Yes,4,0,
C0142,Male,57,Finland,22,Two year,Direct debit,Mobile,No,No,20.26,433.02,1,No,5,0,
C0143,Female,38,Denmark,97,Month-to-month,Bank transfer,None,Yes,No,21.58,2093.67,7,Yes,4,0,
C0144,Male,32,Sweden,56,Month-to-month,Credit card,Mobile,Yes,Yes,55.55,3082.36,4,Yes,4,1,Competitor
C0145,Male,39,Sweden,51,One year,Direct debit,Fiber,Yes,No,41.78,2144.78,0,Yes,5,1,Moving
C0146,Male,69,Denmark,103,One year,Electronic invoice,DSL,Yes,No,40.2,4146.55,1,Yes,5,0,
C0147,Female,45,Norway,86,Month-to-month,Direct debit,Mobile,Yes,No,51.92,4460.49,1,No,5,0,
C0148,Female,31,Finland,92,Two year,Electronic invoice,DSL,Yes,No,47.94,4453.72,1,Yes,5,0,
C0149,Male,44,Norway,30,One year,Electronic invoice,DSL,Yes,No,44.7,1336.19,0,Yes,5,0,
C0150,Male,78,Sweden,63,One year,Credit card,DSL,Yes,No,42.99,2724.33,2,Yes,4,0,
C0151,Female,58,Sweden,70,Two year,Credit card,Mobile,Yes,No,26.39,1851.49,4,No,4,0,
C0152,Male,57,Finland,103,One year,Bank transfer,Mobile,Yes,No,28.33,2946.76,1,Yes,5,0,
C0153,Male,75,Finland,32,Month-to-month,Credit card,Fiber,Yes,No,49.98,1621.05,1,No,4,0,
C0154,Female,45,Finland,84,Month-to-month,Direct debit,Fiber,Yes,No,88.53,7430.52,0,Yes,4,0,
C0155,Other,43,Denmark,1,One year,Electronic invoice,Fiber,Yes,No,50.63,45.36,2,Yes,4,0,
C0156,Male,66,Finland,17,Month-to-month,Direct debit,Fiber,Yes,No,53.27,878.76,2,Yes,4,0,
C0157,Female,80,Sweden,46,One year,Bank transfer,Fiber,No,No,78.01,3590.78,1,Yes,4,0,
C0158,Female,19,Germany,32,One year,Credit card,Fiber,Yes,Yes,78.38,2521.25,0,Yes,4,0,
C0159,Male,42,Finland,100,One year,Bank transfer,Fiber,Yes,No,92.45,9243.76,1,Yes,4,0,
C0160,Female,73,Sweden,97,Month-to-month,Bank transfer,Fiber,Yes,No,83.83,8159.52,0,Yes,5,1,Other
C0161,Male,79,Denmark,83,One year,Bank transfer,Fiber,Yes,Yes,56.27,4673.31,4,Yes,4,0,
C0162,Female,20,Germany,34,One year,Credit card,Fiber,Yes,Yes,96.37,3301.53,1,Yes,4,1,Other
C0163,Female,25,Denmark,50,Two year,Bank transfer,None,Yes,No,31.66,1579.74,2,Yes,5,0,
C0164,Female,61,Denmark,113,Month-to-month,Credit card,DSL,Yes,No,26.59,2981.48,2,Yes,5,1,Other
C0165,Male,50,Denmark,117,One year,Electronic invoice,Fiber,Yes,Yes,65.72,7676.74,1,Yes,5,0,
C0166,Female,59,Sweden,17,Month-to-month,Credit card,Fiber,Yes,No,81.99,1393.19,1,Yes,4,0,
C0167,Male,69,Denmark,109,One year,Credit card,DSL,Yes,No,55.16,5997.45,1,Yes,5,0,
C0168,Male,52,Finland,87,Two year,Credit card,Fiber,Yes,No,98.31,8519.87,3,No,4,0,
C0169,Male,23,Germany,71,Month-to-month,Bank transfer,DSL,No,Yes,64.69,4552.94,4,Yes,4,1,Other
C0170,Female,56,Sweden,29,Month-to-month,Direct debit,Fiber,Yes,No,38.03,1123.15,0,No,5,1,Other
C0171,Female,69,Norway,43,Two year,Direct debit,Fiber,Yes,No,79.89,3442.98,0,No,4,0,
C0172,Male,40,Finland,52,One year,Bank transfer,Mobile,Yes,Yes,55.67,2900.35,5,No,4,0,
C0173,Female,42,Denmark,9,Month-to-month,Direct debit,Fiber,No,Yes,107.85,974.02,0,Yes,4,1,Moving
C0174,Male,76,Finland,86,Month-to-month,Bank transfer,DSL,Yes,No,34.99,2998.19,4,No,4,0,
C0175,Female,67,Germany,51,Month-to-month,Direct debit,Mobile,Yes,No,21.49,1111.88,0,No,5,0,
C0176,Male,60,Denmark,48,Month-to-month,Credit card,DSL,Yes,Yes,65.49,3108.73,3,No,4,0,
C0177,Female,36,Finland,10,Month-to-month,Bank transfer,Mobile,Yes,No,32.66,284.92,0,Yes,5,0,
C0178,Male,22,Denmark,65,One year,Direct debit,Mobile,Yes,No,34.76,2255.37,2,No,5,0,
C0179,Female,68,Denmark,57,Two year,Electronic invoice,Fiber,Yes,No,74.28,4236.55,4,No,4,0,
C0180,Male,28,Norway,89,Month-to-month,Direct debit,Mobile,Yes,No,33.88,2997.64,1,Yes,5,1,Other
C0181,Male,73,Sweden,35,One year,Credit card,Mobile,Yes,No,42.31,1448.98,1,No,5,0,
C0182,Male,29,Finland,32,Month-to-month,Credit card,Mobile,Yes,No,25.92,841.25,0,Yes,5,0,
C0183,Female,27,Finland,46,One year,Electronic invoice,Fiber,Yes,Yes,84.16,3863.13,2,No,4,0,
C0184,Female,25,Finland,12,Month-to-month,Credit card,DSL,Yes,Yes,30.76,383.0,0,No,5,0,
C0185,Male,41,Germany,39,Two year,Credit card,Mobile,Yes,No,24.37,976.54,1,Yes,5,0,
C0186,Female,77,Finland,88,Two year,Credit card,DSL,No,Yes,40.65,3545.13,2,No,5,0,
C0187,Female,45,Denmark,67,Two year,Bank transfer,DSL,Yes,No,49.95,3350.92,1,No,5,1,Competitor
C0188,Female,58,Finland,41,Two year,Credit card,DSL,No,Yes,42.92,1764.71,1,Yes,5,1,Competitor
C0189,Female,53,Sweden,18,Month-to-month,Bank transfer,Fiber,Yes,Yes,99.89,1812.91,1,Yes,4,1,Moving
C0190,Male,54,Denmark,81,One year,Bank transfer,Fiber,Yes,No,70.29,5682.82,3,No,4,0,
C0191,Male,38,Germany,100,Month-to-month,Electronic invoice,Mobile,Yes,No,37.13,3714.12,1,Yes,5,0,
C0192,Female,25,Finland,93,One year,Credit card,Mobile,Yes,No,37.85,3534.72,0,Yes,5,0,
C0193,Female,72,Sweden,18,Two year,Bank transfer,DSL,Yes,Yes,49.72,903.72,1,No,4,0,
C0194,Female,26,Sweden,57,Month-to-month,Direct debit,None,Yes,Yes,42.31,2442.85,1,No,5,0,
C0195,Male,64,Finland,22,Two year,Direct debit,Mobile,Yes,No,39.29,847.01,0,Yes,5,0,
C0196,Male,32,Finland,53,One year,Bank transfer,DSL,Yes,Yes,36.33,1929.63,0,Yes,5,0,
C0197,Female,65,Sweden,79,Two year,Electronic invoice,Fiber,Yes,No,90.83,7173.84,2,Yes,4,0,
C0198,Female,63,Sweden,64,Two year,Credit card,Mobile,Yes,Yes,58.99,3771.23,1,No,4,0,
C0199,Female,57,Denmark,11,One year,Electronic invoice,Fiber,Yes,Yes,63.26,707.62,1,No,4,0,
C0200,Female,35,Sweden,23,One year,Bank transfer,Mobile,No,No,36.06,831.69,2,Yes,4,0,
C0201,Female,59,Sweden,33,One year,Credit card,Mobile,No,No,55.62,1814.14,3,Yes,4,0,
C0202,Male,77,Sweden,52,Two year,Electronic invoice,Fiber,Yes,No,47.44,2485.93,1,Yes,5,0,
C0203,Male,37,Denmark,120,Two year,Direct debit,DSL,Yes,No,49.7,5975.81,2,No,5,0,
C0204,Female,23,Germany,7,One year,Credit card,Fiber,No,No,49.68,377.25,0,Yes,5,0,
C0205,Female,29,Sweden,17,One year,Credit card,DSL,No,No,40.93,710.35,0,No,5,0,
C0206,Male,19,Denmark,56,Two year,Credit card,Fiber,Yes,No,72.69,4066.37,2,Yes,4,0,
C0207,Male,24,Finland,111,Two year,Direct debit,Mobile,No,Yes,50.97,5653.55,0,No,5,0,
C0208,Female,33,Sweden,4,Month-to-month,Credit card,Fiber,Yes,Yes,96.21,405.56,1,Yes,4,0,
C0209,Male,20,Finland,25,Two year,Credit card,None,Yes,No,56.31,1392.41,2,No,4,1,Other
C0210,Male,62,Sweden,29,One year,Credit card,Fiber,Yes,Yes,83.47,2402.53,0,No,4,0,
C0211,Female,20,Denmark,53,Month-to-month,Direct debit,Mobile,Yes,Yes,47.89,2542.58,2,No,4,1,Other
C0212,Female,44,Germany,12,Month-to-month,Electronic invoice,Fiber,No,No,59.66,686.04,1,No,4,1,Moving
C0213,Female,67,Finland,82,One year,Direct debit,None,Yes,No,45.32,3723.21,2,Yes,5,0,
C0214,Male,60,Norway,28,Month-to-month,Credit card,Mobile,Yes,No,44.65,1259.59,1,Yes,4,1,Other
C0215,Female,57,Norway,2,Month-to-month,Electronic invoice,DSL,Yes,Yes,69.05,133.17,0,Yes,4,1,Other
C0216,Male,55,Finland,89,One year,Direct debit,None,Yes,No,51.81,4639.25,2,Yes,4,0,
C0217,Male,50,Finland,103,Month-to-month,Electronic invoice,Fiber,Yes,No,64.98,6715.5,1,Yes,5,1,Competitor
C0218,Female,45,Finland,57,One year,Bank transfer,DSL,No,No,25.42,1433.38,1,No,5,1,Other
C0219,Female,18,Finland,75,Two year,Bank transfer,Fiber,Yes,Yes,84.42,6344.62,1,No,4,1,Moving
C0220,Female,72,Finland,1,One year,Direct debit,Mobile,Yes,Yes,50.93,70.62,1,Yes,4,0,
C0221,Female,25,Finland,74,Two year,Credit card,Fiber,No,Yes,85.25,6310.16,2,No,4,1,Competitor
C0222,Female,54,Finland,107,Two year,Bank transfer,Fiber,Yes,Yes,66.43,7099.37,1,Yes,5,0,
C0223,Male,49,Denmark,27,Two year,Electronic invoice,Mobile,No,Yes,61.83,1647.23,2,No,4,0,
C0224,Male,77,Norway,81,Month-to-month,Electronic invoice,Mobile,Yes,Yes,23.01,1852.65,0,Yes,5,1,Moving
C0225,Male,65,Germany,76,Two year,Electronic invoice,Fiber,Yes,No,60.2,4553.47,5,Yes,4,1,Moving
C0226,Male,60,Sweden,100,Two year,Direct debit,DSL,Yes,No,46.52,4670.25,0,Yes,5,0,
C0227,Other,54,Denmark,85,One year,Credit card,DSL,No,No,46.95,3985.65,3,No,4,0,
C0228,Male,21,Germany,75,Month-to-month,Credit card,Mobile,Yes,Yes,46.98,3533.93,3,No,4,1,Other
C0229,Female,47,Norway,1,Month-to-month,Bank transfer,Mobile,Yes,No,42.86,68.07,2,Yes,4,1,Other
C0230,Female,23,Sweden,100,Month-to-month,Bank transfer,DSL,Yes,Yes,43.81,4385.24,4,Yes,4,1,Competitor
C0231,Female,63,Denmark,6,One year,Credit card,Fiber,Yes,No,40.59,267.08,4,No,4,0,
C0232,Female,71,Finland,25,Month-to-month,Credit card,DSL,Yes,No,26.5,655.49,2,Yes,4,1,Moving
C0233,Female,36,Finland,89,One year,Direct debit,Mobile,No,No,49.09,4376.74,1,Yes,5,0,
C0234,Female,49,Sweden,87,One year,Direct debit,DSL,No,No,28.91,2519.28,4,Yes,4,0,
C0235,Male,26,Norway,75,Month-to-month,Electronic invoice,DSL,Yes,No,24.52,1824.97,0,No,5,0,
C0236,Female,29,Finland,15,Month-to-month,Direct debit,DSL,Yes,No,47.29,703.16,2,Yes,4,1,Moving
C0237,Male,28,Germany,22,One year,Direct debit,Fiber,Yes,No,69.8,1563.9,1,Yes,4,1,Other
C0238,Male,63,Norway,39,Two year,Direct debit,Fiber,Yes,No,70.82,2755.08,1,Yes,4,0,
C0239,Female,72,Sweden,59,Two year,Electronic invoice,DSL,No,No,54.46,3179.89,0,No,5,1,Moving
